station_id,station_en,station_zh,subbasin,landscape,year,orbit_period,valid_days_consensus,valid_days_any,valid_eight_day_bins_consensus,paired_sensor_days,median_sensor_difference_c,p95_sensor_difference_c,paired_sensor_diagnostic_available,station_year_sensor_consistent,strict_qc_status,qc_rule,ground_annual_consensus_c,chinatherm30_median_3x3_c,chinatherm30_minus_ground_3x3_c
jingyangling,Jingyangling,景阳岭,upstream,alpine meadow,2014,through_2020,101,101,18,63,0.5100000000000016,0.8689999999999999,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,17.700142857142858,18.76,1.059857142857144
jingyangling,Jingyangling,景阳岭,upstream,alpine meadow,2015,through_2020,112,112,19,112,2.8300000000000005,4.061774999999999,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,16.93325,18.31,1.3767499999999977
jingyangling,Jingyangling,景阳岭,upstream,alpine meadow,2016,through_2020,83,118,19,118,4.9350000000000005,9.221674999999996,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,17.215,20.22,3.004999999999999
jingyangling,Jingyangling,景阳岭,upstream,alpine meadow,2018,through_2020,42,107,12,107,6.3050000000000015,10.326399999999996,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,13.5453,19.79,6.2447
jingyangling,Jingyangling,景阳岭,upstream,alpine meadow,2019,through_2020,22,115,9,115,7.57,16.906000000000002,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,17.3325,20.17,2.837500000000002
jingyangling,Jingyangling,景阳岭,upstream,alpine meadow,2020,through_2020,27,113,10,110,8.2725,12.8612,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,6.75853125,18.72,11.961468749999998
jingyangling,Jingyangling,景阳岭,upstream,alpine meadow,2021,2021_2024,110,110,19,0,,,False,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,11.724999999999998,20.13,8.405000000000001
jingyangling,Jingyangling,景阳岭,upstream,alpine meadow,2022,2021_2024,59,106,15,106,5.447,9.92125,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,14.085,20.69,6.605
jingyangling,Jingyangling,景阳岭,upstream,alpine meadow,2023,2021_2024,30,121,14,121,6.960000000000001,9.7195,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,13.5225,22.05,8.5275
jingyangling,Jingyangling,景阳岭,upstream,alpine meadow,2024,2021_2024,100,104,19,48,2.891249999999999,7.192374999999998,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,16.86875,19.79,2.921250000000001
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2013,through_2020,102,102,14,102,0.2277299999999983,0.8855046999999987,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,38.312778249999994,42.46,4.147221750000007
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2014,through_2020,122,122,19,122,0.4902100000000011,1.0359894500000024,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,41.3707965625,42.93,1.5592034375000026
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2015,through_2020,127,127,19,126,0.5507824999999986,0.9954562500000002,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,42.402285625,41.71,-0.6922856249999967
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2016,through_2020,124,124,19,124,0.9021700000000008,1.2934812499999977,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,40.53742666666667,43.57,3.032573333333332
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2017,through_2020,116,116,19,86,1.5735874999999986,2.2559637499999976,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,38.027223,44.21,6.1827770000000015
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2018,through_2020,126,126,19,126,1.1841,2.6347049999999985,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,35.62208892857143,40.34,4.717911071428574
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2019,through_2020,126,126,19,126,0.580562500000001,1.606349999999999,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,41.62542214285714,43.8,2.1745778571428573
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2020,through_2020,129,129,19,129,0.5800000000000001,1.423999999999999,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,32.769642857142856,44.03,11.260357142857146
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2021,2021_2024,128,128,19,128,0.4675000000000011,1.1465000000000014,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,31.241071428571427,44.57,13.328928571428571
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2022,2021_2024,129,129,19,129,0.4499999999999993,1.13,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,32.94416666666667,45.76,12.81583333333333
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2023,2021_2024,131,131,19,131,0.3900000000000005,1.0875000000000012,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,34.74321428571428,44.54,9.796785714285718
mixed_forest,Mixed Forest,混合林,downstream,Populus euphratica and Tamarix,2024,2021_2024,124,124,19,124,0.4050000000000011,1.1742500000000002,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,31.699583333333333,44.81,13.11041666666667
populus_euphratica,Populus euphratica,胡杨林,downstream,Populus euphratica,2015,through_2020,128,129,19,129,0.9849999999999994,3.0439999999999983,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,42.36450000000001,34.35,-8.014500000000005
